wp_ID,wp_post_title,wp_post_name,cf__sku,cf__price,cf__regular_price,cf__sale_price,cf__stock
4076,Casual Loosefit Sweater,casual-loosefit-sweater,CLS001,35,,,
4068,Crewneck Pullover,crewneck-pullover,CNP001,35,,,
4061,Berry Pullover,berry-pullover,BPB001,39.99,,,
4054,Tailed Knit,tailed-knit,TKN001,49,,,
3091,Charm Bracelet - Blue,charm-bracelet-blue,BRACE012,9.99,9.99,5.99,1
3068,Rustic Make A Wish Rings - Peace,wish-rings-peace,RING005,4.99,5.99,4.99,10
3072,Rustic Make A Wish Rings - Free,wish-rings-free,RING006,4.99,5.99,4.99,16
3076,Rustic Make A Wish Rings - Wisdom,wish-rings-wisdom,RING007,4.99,5.99,4.99,15
3080,Rustic Make A Wish Rings - Luck,wish-rings-luck,RING008,5.99,5.99,,19
3083,Geometric Necklace - Black,geometric-necklace-black,NECK006,14.99,19.99,14.99,4
3082,Mood Rings - Colour Changing,mood-rings-colour,RING009,4.99,4.99,,100
3099,Punk Style Leather Bracelet - White,leather-bracelet-white,BRACE014,9.99,9.99,,4
3101,Punk Style Leather Bracelet - Black,leather-bracelet-black,BRACE015,9.99,9.99,,4
3103,Punk Style Leather Bracelet - Pink,punk-bracelet-pink,BRACE016,9.99,9.99,,4
3106,Sterling Silver Filled Charm Tag Bracelet,sterling-silver-bracelet,BRACE018,7.99,7.99,,9
3110,Chunky Beaded Necklace - Green/Teal,beaded-necklace-teal,BRACE019,9.99,14.99,9.99,1
3114,Chunky Beaded Necklace - Black,beaded-necklace-black,BRACE020,9.99,14.99,9.99,1
3118,Chunky Beaded Necklace - Multi Colour,beaded-necklace-multi-colour,BRACE021,9.99,14.99,9.99,1
3123,Chunky Beaded Necklace - Gold,beaded-necklace-gold,BRACE023,9.99,14.99,9.99,1
3064,Rustic Make A Wish Rings - Love,wish-rings-love,RING004,4.99,5.99,4.99,8
3127,Chunky Beaded Necklace - White,beaded-necklace-white,BRACE024,9.99,14.99,9.99,1
3060,Rustic Make A Wish Rings - Hope,wish-rings-hope,RING003,4.99,5.99,4.99,8
3087,Charm Bracelet - Black,charm-bracelet-black,BRACE011,9.99,9.99,5.99,1
3131,One Direction Silicone Band  - So In Love With One Direction,one-direction-direction,BRACE025,7.99,7.99,5.99,1
3095,Charm Bracelet - White,charm-bracelet-white,BRACE013,9.99,9.99,,0
3056,Rustic Make A Wish Rings - Belief,wish-rings-belief,RING002,4.99,5.99,4.99,8
3052,Silver Hoop Earrings,hoop-earrings,EAR002,9.99,9.99,5.99,11
3212,Leather Bracelet Wrist Watch - Green,wrist-watch-green,BRACE039,9.99,14.99,5.99,2
