wp_ID,wp_post_title,wp_post_name,cf__sku,Source
3584,Sweetheart Playsuit in White,sweetheart-playsuit-white,SPW000,sweetheart-playsuit-white.html
3577,Sweetheart Playsuit in Pink,sweetheart-playsuit-pink,SPP000,sweetheart-playsuit-pink.html
3445,Blue Sequined Party Dress,sequined-party-dress,SPDRS000,blue-sequined-party-dress.html
3654,Casual Kelly Tee in Grey -  Medium,casual-kelly-tee,CKT001,casual-kelly-tee-grey-medium.html
3537,Night on the town mesh dress in black,mesh-dress-black,NTM000,night-mesh-dress-black.html
3544,Pretty Meshy Dress in Black,pretty-meshy-dress,PDM000,pretty-meshy-dress-black.html
3551,Sexy Leopard Shift Dress,leopard-shift-dress,LSD000,sexy-leopard-shift-dress.html
3558,Show Stopper Playsuit in Blue,show-stopper-playsuit,SSP000,show-stopper-playsuit-blue.html
3573,Summer Suzie Tee Dress in Blue,tee-dress-blue,SST001,summer-suzie-tee-dress-blue.html
3569,Summer Suzie Tee Dress in Red,tee-dress-red,SST000,summer-suzie-tee-dress-red.html
3648,Brat Tee in Black,brat-tee-black,BT000,brat-tee-black-453.html
3666,Kool Kim Top in White,kool-kim-top,KKT000,kool-kim-top-white.html
3673,Criss Cross Top in White,criss-cross-top,CRT000,criss-cross-top-white.html
3680,Dare to Dream Playsuit in Black,dare-to-dream-playsuit,DTD000,dare-to-dream-playsuit-black.html
3698,Hugs & Kiss Party Dress in Red,kiss-party-dress,HKP000,hugs-kiss-party-dress-in-red.html
3714,Lost Tee in Grey,lost-tee-grey,LTG000,lost-tee-grey.html
3720,Playful Lace Top in White,playful-lace-top,PLT000,playful-lace-top-white.html
3725,Polka Dot Princess Tee in Black,polka-dot-tee,PDP000,ploka-dot-princess-tee-black.html
3732,Pretty in Pink Playsuit,pretty-pink-playsuit,PIP000,pretty-in-pink-playsuit.html
3755,Romeo Crop Top in Black ,romeo-crop-top,RCT000,romeo-crop-top-black.html
3761,Sassy Anne Jumpsuit in Blue,sassy-anne-jumpsuit,SAJ000,sassy-anne-jumpsuit-blue.html
3789,Wave Mesh Playsuit in White,wave-mesh-playsuit,WMP000,wave-mesh-playsuit-white.html
3850,Blue Mist Day Dress,blue-mist-dress,BMDD000,blue-mist-day-dress.html
3871,Bluebell Day Dress in Navy,bluebell-dress-navy,BBD000,bluebell-day-dress-navy-586.html
3878,Southern Comfort Maxi Dress in Black,maxi-dress-black,SCM000,southern-comfort-maxi-dress-black.html
3884,Ruched Maxi Dress in Black,ruched-maxi-black,RMB000,ruched-maxi-dress-black.html
3891,Ruched Maxi Dress in White,ruched-maxi-white,RMW000,ruched-maxi-dress-white.html
3692,Grey Butterfly Day Dress,grey-butterfly-dress,GBD000,grey-butterfly-day-dress.html
3843,Symphony Party Dress in Navy,symphony-party-dress,SDN000,smphony-party-dress-navy.html
3818,Mariana Playsuit in Black,mariana-playsuit-black,MPB000,mariana-playsuit-black.html
3834,Voltage Playsuit in Black,voltage-playsuit-black,VPB000,voltage-playsuit-black.html
3826,Tanya Pinstripe Playsuit in Black,tanya-pinstripe-playsuit,TPP000,tanya-pinstripe-playsuit-black.html
3484,Black Bombshell Dress,black-bombshell-dress,BBS001,black-bombshell-dress.html
3864,Crystal Clear Playsuit in White,crystal-clear-playsuit,CCP000,crystal-clear-playsuit-white.html
3857,Swing Party Dress in White,swing-party-dress,SPDW000,swing-party-dress-white.html
3500,Just A Little Naughty Playsuit in White ,naughty-playsuit-white,NPS000,just-a-little-naughty-playsuit-white.html
3628,African Safari Playsuit in White,african-safari-playsuit,ASP000,african-safari-playsuit-white.html
3635,Beach Babe Playsuit in Pink,beach-babe-playsuit,BBP000,beach-babe-playsuit-pink.html
3522,Let's Play Dress in Red ,play-dress-red,LPD000,lets-play-dress-red.html
3641,Black or White Day Dress,black-white-dress,BWDD000,black-or-white-day-dress.html
3703,Hugs & Kiss Party Dress in White,kiss-dress-white,HKP004,hugs-kiss-party-dress-in-white.html
3748,Red Lips Party Dress ,red-party-dress,RLP000,red-lips-party-dress.html
3768,Senorita Party Dress,senorita-party-dress,SPD000,senorita-party-dress-black.html
3781,Vixen Dress in White,vixen-dress-white,VPW000,vixen-dress-white.html
3418,Cascade Halter Neck Dress - 12,neck-dress-12,ODRH003,cascade-halter-neck-dress-large.html
3417,Cascade Halter Neck Dress - 10,neck-dress-10,ODRH002,cascade-halter-neck-dress-medium.html
3416,Cascade Halter Neck Dress - 8,neck-dress-8,ODRH001,cascade-halter-neck-dress-small.html
3419,Cascade Halter Neck Dress ,halter-neck-dress,ODRH000,halter-neck-dress.html
3709,Look At Me Party Dress in Black,look-party-dress,LAM000,look-at-me-party-dress-black.html
